gen,best,mean,std,best_of_run
1,403.221000000013,24.03180895000403,194.97933015278494,403.221000000013
2,404.88167500001225,151.60300246250478,128.89250616522645,404.88167500001225
3,499.22100000001234,217.19937000000573,99.43854997470537,499.22100000001234
4,499.22100000001234,261.9842883750069,94.51335632832468,499.22100000001234
5,499.22100000001234,288.3083601875079,99.34793581905451,499.22100000001234
6,499.22100000001234,336.57538475000945,88.44769675404399,499.22100000001234
7,499.22100000001234,361.2333713750102,72.58629067049176,499.22100000001234
8,894.8200000000002,409.8175583750124,57.455912186005264,894.8200000000002
9,894.8200000000002,413.0195668750125,57.297335311528336,894.8200000000002
10,894.8200000000002,413.1631168750126,57.27080811497217,894.8200000000002
11,894.8200000000002,413.2867818750125,57.24767693086805,894.8200000000002
12,894.8200000000002,413.4160918750125,57.22334534952381,894.8200000000002
13,894.8200000000002,414.6310918750126,57.99531407566147,894.8200000000002
14,894.8200000000002,414.6740318750126,57.98812136712821,894.8200000000002
15,894.8200000000002,417.04901937501256,59.398886260566194,894.8200000000002
16,894.8200000000002,419.44901937501254,60.71649854854673,894.8200000000002
17,894.8200000000002,423.0803768125126,62.432404286002196,894.8200000000002
18,894.8200000000002,433.65328487501245,80.73888267930049,894.8200000000002
19,894.8200000000002,442.2295411875124,95.53211699417623,894.8200000000002
20,894.8200000000002,454.9236811875122,115.73584636269685,894.8200000000002
21,894.8200000000002,468.7899773125115,123.78148166446859,894.8200000000002
22,3776.9276399999862,524.5083786875111,385.39591731487434,3776.9276399999862
23,4207.2199999999875,583.2709759375105,559.3175806381798,4207.2199999999875
24,4207.2199999999875,648.2123038750099,657.101136252504,4207.2199999999875
25,4207.2199999999875,686.6299384375084,676.4281748574081,4207.2199999999875
26,4207.2199999999875,736.3079866875066,709.0867884584599,4207.2199999999875
27,4207.2199999999875,776.4772612500058,717.1510774530283,4207.2199999999875
28,4207.2199999999875,861.6611193125051,778.0167998408365,4207.2199999999875
29,4207.2199999999875,885.4309753125042,771.7733550052656,4207.2199999999875
30,4207.2199999999875,934.8818316250029,779.301183676077,4207.2199999999875
