config_id,MU,LAMBDA,SIGMA_MUT,TOURNAMENT_K,best_fitness,time_seconds
1,30,30,0.05,3,1227.8199999999413,553.1973698000074
2,30,30,0.05,5,403.2210000000131,508.33844620001037
3,30,30,0.1,3,2895.852699999993,506.292377500009
4,30,30,0.1,5,2795.819999999996,506.5504239000147
5,30,30,0.2,3,1039.4360000000402,504.5632176999934
6,30,30,0.2,5,4768.100999999936,527.5069898999936
7,30,50,0.05,3,2908.072099999996,968.608644300024
8,30,50,0.05,5,6060.04074999998,923.889093100006
9,30,50,0.1,3,4981.197949999985,848.7074221999792
10,30,50,0.1,5,2910.0866999999967,829.6909874000121
11,30,50,0.2,3,4755.139999999932,939.8896647999936
12,30,50,0.2,5,4954.899999999934,982.4734316999966
13,50,30,0.05,3,499.2210000000129,600.283678399981
14,50,30,0.05,5,2921.3006999999952,565.7815931000223
15,50,30,0.1,3,880.4682500000001,518.4280171999999
16,50,30,0.1,5,403.2210000000131,518.1839587999857
17,50,30,0.2,3,499.2210000000128,517.6298681000189
18,50,30,0.2,5,499.2210000000128,589.6930833000224
19,50,50,0.05,3,2292.519999999945,978.6316150000202
20,50,50,0.05,5,499.221000000013,1044.3907863999775
21,50,50,0.1,3,1276.649245000036,1036.0856870000134
22,50,50,0.1,5,4542.099999999966,994.5882475999824
23,50,50,0.2,3,668.6019299999973,1039.3158426999871
24,50,50,0.2,5,2893.195299999994,959.0793621000194
25,80,30,0.05,3,499.2210000000128,526.9300748000096
26,80,30,0.05,5,499.2210000000127,526.5899993000203
27,80,30,0.1,3,499.2210000000127,551.8372707999952
28,80,30,0.1,5,2781.4199999999887,609.2873106999905
29,80,30,0.2,3,894.44,609.8790048999945
30,80,30,0.2,5,1227.8199999999401,609.9640611999785
31,80,50,0.05,3,877.2843399999998,1046.8764305000077
32,80,50,0.05,5,4209.93999999999,938.5499504999898
33,80,50,0.1,3,4207.2199999999875,1017.7245925999887
34,80,50,0.1,5,499.221000000013,1052.6488343000237
35,80,50,0.2,3,1227.819999999938,1046.9636299000122
36,80,50,0.2,5,892.4481399999999,1040.280946200015
