generation,best,mean,min,std,best_of_run,gen_seeds
1,1870.6745300000389,1504.2634980000323,1149.515030000035,204.60473779303513,1870.6745300000389,"[243, 596, 686, 383, 595]"
2,2384.9534800000383,1820.4333853333712,1634.6618600000395,247.98488080045115,2384.9534800000383,"[944, 354, 471, 767, 431]"
3,3013.92264000006,2393.269038000047,2060.1381300000257,271.90389140688137,3013.92264000006,"[374, 874, 647, 632, 697]"
4,3013.92264000006,2480.260026000052,2218.247350000042,238.61395925279956,3013.92264000006,"[109, 23, 162, 489, 651]"
5,3013.92264000006,2498.6651740000516,2226.4826300000586,228.1103899685652,3013.92264000006,"[900, 663, 891, 179, 73]"
6,3013.92264000006,2498.6651740000516,2226.4826300000586,228.1103899685652,3013.92264000006,"[777, 12, 177, 264, 984]"
7,3013.92264000006,2585.3141846667204,2278.8126700000566,223.30524757549193,3013.92264000006,"[788, 293, 38, 550, 627]"
8,3013.92264000006,2638.613927333386,2384.9534800000383,225.94818254638614,3013.92264000006,"[356, 631, 138, 601, 506]"
9,3013.92264000006,2638.613927333386,2384.9534800000383,225.94818254638614,3013.92264000006,"[124, 730, 609, 39, 623]"
10,3013.92264000006,2711.9182786667234,2438.3651000000427,209.52007677280756,3013.92264000006,"[344, 225, 43, 100, 45]"
11,3449.5501400000444,2851.6443433333907,2552.3995800000616,227.8565186026456,3449.5501400000444,"[876, 764, 18, 107, 681]"
12,3598.699800000048,3099.5482766667224,2752.991900000061,248.5795065530044,3598.699800000048,"[859, 261, 869, 369, 94]"
13,3598.699800000048,3100.7276100000545,2770.68190000004,246.96929299799038,3598.699800000048,"[673, 111, 392, 322, 350]"
14,3981.6786599999473,3268.726651333382,3013.92264000006,294.35861435763326,3981.6786599999473,"[297, 727, 449, 463, 169]"
15,3981.6786599999473,3329.4745286667135,3013.92264000006,327.6486725207164,3981.6786599999473,"[125, 375, 861, 548, 828]"
16,3981.6786599999473,3366.1970060000463,3013.92264000006,321.0257360827086,3981.6786599999473,"[28, 615, 891, 890, 177]"
17,4045.764480000061,3557.7861940000344,3134.711400000058,287.864796425054,4045.764480000061,"[183, 187, 877, 57, 896]"
18,4532.610000000037,3815.2757846667,3449.5501400000444,276.05816451096143,4532.610000000037,"[879, 499, 858, 466, 166]"
19,4532.610000000037,3929.4197933333653,3598.699800000048,277.2796014278021,4532.610000000037,"[464, 79, 25, 176, 247]"
20,4532.610000000037,3953.876411333364,3655.1683300000504,255.91098982112,4532.610000000037,"[131, 576, 40, 341, 757]"
21,4532.610000000037,3975.304641333365,3752.3145400000435,237.47808618352727,4532.610000000037,"[930, 860, 941, 776, 450]"
22,4532.610000000037,3975.304641333365,3752.3145400000435,237.47808618352727,4532.610000000037,"[358, 183, 648, 974, 908]"
23,4532.610000000037,4007.113498666699,3755.403000000042,237.43413496211832,4532.610000000037,"[991, 690, 253, 562, 719]"
24,4532.610000000037,4066.811049333368,3801.2131200000426,237.52320327475104,4532.610000000037,"[103, 907, 477, 324, 323]"
25,4532.610000000037,4066.811049333368,3801.2131200000426,237.52320327475104,4532.610000000037,"[942, 801, 595, 605, 427]"
26,4532.610000000037,4066.811049333368,3801.2131200000426,237.52320327475104,4532.610000000037,"[457, 13, 487, 893, 384]"
27,5357.6442600000655,4250.634428666699,3925.1408000000297,366.6622409675434,5357.6442600000655,"[221, 648, 592, 152, 385]"
