generation,best,mean,min,std,best_of_run
1,830.010000000006,585.9025580000065,435.6530400000065,118.1075530292272,830.010000000006
2,830.5877600000063,711.1416713333397,697.5100000000062,31.947012562012347,830.5877600000063
3,830.5877600000063,721.3335033333394,703.0100000000065,42.68846477938316,830.5877600000063
4,1347.560000000002,759.8557660000062,704.2100000000064,122.28887507596477,1347.560000000002
5,5362.188599999954,1074.1103033333368,705.2780000000064,835.9912086456591,5362.188599999954
6,5362.188599999954,1325.205612666664,830.9002000000062,898.4616414937522,5362.188599999954
7,5362.188599999954,1863.3524986666505,832.2780000000064,1152.4239450049422,5362.188599999954
8,6108.135599999952,2403.061208666641,1307.7613,1390.1026967950295,6108.135599999952
9,6108.135599999952,2939.171051999947,1316.0280000000002,1259.0685218007234,6108.135599999952
10,6108.135599999952,3355.9125259999378,1347.7300000000018,1058.7290075200178,6108.135599999952
11,6108.135599999952,3779.8443799999313,2117.391799999901,717.4936939774648,6108.135599999952
12,6108.135599999952,3899.1362733332703,3025.6747999998734,604.7432510480621,6108.135599999952
13,6108.135599999952,4073.978390999947,3337.0099999998793,635.2033258641624,6108.135599999952
14,6812.829999999824,4212.203677666615,3338.2099999998813,773.570607913688,6812.829999999824
15,6812.829999999824,4285.730817666624,3884.969999999955,719.4590907088916,6812.829999999824
16,6822.919999999828,4458.217106333285,3997.801199999965,898.0496799169422,6822.919999999828
17,6822.919999999828,4459.553146333286,4002.165399999959,897.3807210440098,6822.919999999828
18,6822.919999999828,4459.784312999953,4003.0939999999614,897.2637530865071,6822.919999999828
19,6822.919999999828,4462.467506333286,4009.100399999961,895.9548285665705,6822.919999999828
20,6822.919999999828,4527.418541333287,4011.051199999961,928.7030466213316,6822.919999999828
21,6822.919999999828,4585.506827999953,4015.835199999962,946.5395181045185,6822.919999999828
22,6822.919999999828,4586.045794666619,4016.686199999961,946.2195386714567,6822.919999999828
23,6822.919999999828,4633.706318666618,4018.360599999961,952.3306689390113,6822.919999999828
24,6822.919999999828,4767.589109333285,4019.1883999999745,950.5717742333312,6822.919999999828
25,6822.919999999828,4890.2836793332835,4023.7939999999608,973.1202169889089,6822.919999999828
26,6822.919999999828,4890.347539333283,4024.7595999999603,973.0634136147474,6822.919999999828
27,6822.919999999828,4934.315980666618,4025.7097999999587,962.703896856115,6822.919999999828
28,6822.919999999828,5161.370803999946,4032.004199999958,998.7314808986315,6822.919999999828
29,6822.919999999828,5249.554803333276,4035.508599999976,952.4719987147537,6822.919999999828
30,6822.919999999828,5400.413590499942,4046.0187999999603,868.646545390804,6822.919999999828
31,6822.919999999828,5401.618170499943,4050.4303999999656,866.7906012655034,6822.919999999828
32,6822.919999999828,5401.618170499943,4050.4303999999656,866.7906012655034,6822.919999999828
33,6822.919999999828,5486.0635518332765,4055.0247999999583,789.4963047274472,6822.919999999828
34,6822.919999999828,5530.353587166609,4059.084799999962,742.6785204474562,6822.919999999828
35,6822.919999999828,5592.523093833278,4059.123199999965,693.3409367733283,6822.919999999828
36,6822.919999999828,5654.96689916661,4077.430799999971,634.2685878861284,6822.919999999828
37,6822.919999999828,5783.453464499943,5313.49813999996,506.5290948426249,6822.919999999828
38,6822.919999999828,5817.412678166611,5343.516239999955,491.9694159326107,6822.919999999828
39,6822.919999999828,5862.954809333277,5354.081039999955,477.9212379964557,6822.919999999828
40,6822.919999999828,5862.954809333277,5354.081039999955,477.9212379964557,6822.919999999828
41,6822.919999999828,5865.548441999944,5356.121259999958,475.2516802136632,6822.919999999828
42,6822.919999999828,5865.548441999944,5356.121259999958,475.2516802136632,6822.919999999828
43,6822.919999999828,5865.548441999944,5356.121259999958,475.2516802136632,6822.919999999828
44,6822.919999999828,5865.548441999944,5356.121259999958,475.2516802136632,6822.919999999828
45,6822.919999999828,5885.294910333278,5359.833959999949,465.21498114321815,6822.919999999828
46,6822.919999999828,5885.294910333278,5359.833959999949,465.21498114321815,6822.919999999828
47,6822.919999999828,5885.294910333278,5359.833959999949,465.21498114321815,6822.919999999828
48,6822.919999999828,5887.501296333276,5359.907439999952,462.86868045657405,6822.919999999828
49,6822.919999999828,5921.537686333277,5362.389259999951,459.2615659401146,6822.919999999828
50,6822.919999999828,5921.537686333277,5362.389259999951,459.2615659401146,6822.919999999828
51,6822.919999999828,5969.861377666605,5365.358319999956,473.92103688352665,6822.919999999828
52,6822.919999999828,5994.619624999938,5366.508939999944,460.9169451098098,6822.919999999828
53,6822.919999999828,6109.881136333269,5392.21771999995,444.41058572434537,6822.919999999828
54,6822.919999999828,6238.211254666601,5714.3199999999615,379.24364756785656,6822.919999999828
55,6825.458984999837,6385.15669733325,5931.669049999954,365.0410546436686,6825.458984999837
56,6825.458984999837,6419.522934166581,5932.241929999962,355.90046305961664,6825.458984999837
57,6825.458984999837,6426.404276499914,5932.38655999995,348.32754427204713,6825.458984999837
58,6825.458984999837,6426.404276499914,5932.38655999995,348.32754427204713,6825.458984999837
59,7823.987399999931,6581.940762999915,6100.307599999958,447.7820628173064,7823.987399999931
60,7823.987399999931,6719.327438666558,6112.406499999965,383.7578062055021,7823.987399999931
61,7823.987399999931,6820.840469999882,6139.224399999962,375.77094684760925,7823.987399999931
62,7823.987399999931,6844.382256666544,6356.163699999956,353.81229506905987,7823.987399999931
63,7823.987399999931,6926.419146666535,6652.539999999963,353.55248764009235,7823.987399999931
64,7835.938599999941,6977.537633333193,6656.80999999997,378.33398180016513,7835.938599999941
65,7835.938599999941,7092.015222999859,6812.219999999823,438.4339163879624,7835.938599999941
66,7843.54519999995,7160.027122999868,6813.249999999825,467.94600798466575,7843.54519999995
67,8878.059999999838,7336.217996333219,6814.364369999839,557.9223566201919,8878.059999999838
68,8878.059999999838,7339.406517333217,6814.808499999832,555.1975385774906,8878.059999999838
69,8878.059999999838,7373.802160666554,6822.919999999828,553.5930656867592,8878.059999999838
70,9021.796499999924,7552.1295644999045,6825.537999999831,584.394097422132,9021.796499999924
71,9021.796499999924,7730.160783333265,6910.019999999838,540.9528629546844,9021.796499999924
72,9021.796499999924,7826.452729999935,6945.7857999999615,530.4338204405092,9021.796499999924
73,9021.796499999924,7826.619203333268,6950.779999999944,530.158114562136,9021.796499999924
74,9021.796499999924,7826.619203333268,6950.779999999944,530.158114562136,9021.796499999924
75,9021.796499999924,7913.251783333266,6965.010999999959,444.16712379483573,9021.796499999924
76,9021.796499999924,7996.925383333266,7803.970799999954,379.36666231099645,9021.796499999924
77,10310.87015999992,8106.640935333268,7816.115399999941,564.2023041526998,10310.87015999992
