generation,best,mean,min,std,best_of_run
1,403.22100000001274,190.77520450000608,-37.30300799999983,140.24885358789447,403.22100000001274
2,403.22100000001285,300.5611716666751,196.02000000000487,98.80795533254916,403.22100000001285
3,403.22100000001285,383.13933866667776,203.2200000000047,51.941777239336396,403.22100000001285
4,403.22100000001285,402.47391900001264,401.82000000001267,0.6816005273182786,403.22100000001285
5,403.221000000013,403.06403683334594,401.90344000001267,0.3894601350213298,403.221000000013
6,403.221000000013,403.2210000000127,403.22100000001245,1.556721137788958e-13,403.221000000013
7,403.221000000013,403.2210000000128,403.2210000000127,1.127354667054193e-13,403.221000000013
8,403.221000000013,403.2210000000128,403.22100000001274,1.0934049931660948e-13,403.221000000013
9,403.221000000013,403.2210000000128,403.2210000000128,1.329050513106736e-13,403.221000000013
10,450.73980000001285,404.80496000001284,403.22100000001285,8.529885647908756,450.73980000001285
11,2134.1009499999227,462.5009583333432,403.2210000000129,310.5253631007238,2134.1009499999227
12,2134.1009499999227,465.65425833334314,403.22100000001296,310.387663848648,2134.1009499999227
13,2134.1009499999227,468.80755833334314,403.22100000001296,310.21785249760575,2134.1009499999227
14,2134.1009499999227,503.0618616666756,403.22100000001296,324.6165895965506,2134.1009499999227
15,2134.1009499999227,509.3684616666756,403.221000000013,323.53275310972975,2134.1009499999227
16,2134.1009499999227,518.9217616666755,403.221000000013,321.66249195312014,2134.1009499999227
17,2134.1009499999227,531.6283616666755,403.221000000013,318.7098563002781,2134.1009499999227
18,2134.1009499999227,582.5091603333411,403.2210000000131,317.99828867863016,2134.1009499999227
19,2134.1009499999227,625.5582540000073,497.82000000001244,315.21781199804116,2134.1009499999227
20,2870.589249999994,730.1893803333393,497.82000000001244,509.02515616360853,2870.589249999994
21,2870.589249999994,873.2221790000026,499.22100000001234,619.1472132919413,2870.589249999994
22,2870.589249999994,909.3802078333349,499.22100000001245,606.6885947290409,2870.589249999994
23,3790.721044999989,1170.2352831666642,499.2210000000127,773.8077152247157,3790.721044999989
24,3790.721044999989,1263.5217373333294,862.6871449999999,804.2845522544968,3790.721044999989
25,3790.721044999989,1264.7106528333295,863.3667499999995,803.7134926060739,3790.721044999989
26,4049.6200000000013,1439.1719223333296,868.2079000000002,974.2732702608089,4049.6200000000013
27,4049.6200000000013,1440.0869923333294,868.6573999999998,973.7493231262861,4049.6200000000013
28,4049.6200000000013,1494.0271303333298,875.9213750000002,979.713920682273,4049.6200000000013
29,4049.6200000000013,1501.915823499998,890.61155,975.1885615616055,4049.6200000000013
30,4197.241799999991,1612.2888318333307,890.98805,1080.8924225818723,4197.241799999991
31,4197.241799999991,1749.3187881666586,894.6,1068.0414209301925,4197.241799999991
32,4197.241799999991,1758.2555314999918,894.6772500000001,1061.9512731579707,4197.241799999991
33,4197.241799999991,1821.6482898333247,894.6800000000001,1065.2661171856964,4197.241799999991
34,4197.241799999991,1832.7996564999894,894.7200000000001,1057.2247680719472,4197.241799999991
35,4197.241799999991,1953.9741998333172,895.2516000000003,1033.3515526265128,4197.241799999991
36,4197.241799999991,2129.691376499981,895.4000000000003,991.5328212594626,4197.241799999991
37,4197.241799999991,2245.2755914999807,895.5200000000001,942.8704865156175,4197.241799999991
38,4197.241799999991,2250.3322581666484,895.5400000000001,935.9998678324586,4197.241799999991
39,4197.241799999991,2250.337591499982,895.58,935.9921486261773,4197.241799999991
40,4197.241799999991,2315.9175914999814,895.7000000000002,878.6140918981694,4197.241799999991
41,4197.241799999991,2326.988258166646,1041.5200000000398,862.5957578933907,4197.241799999991
42,4197.241799999991,2388.2736014999764,1047.2200000000387,833.8363008177799,4197.241799999991
43,4197.241799999991,2537.880848166642,1162.0706999999882,789.7967355243194,4197.241799999991
44,4197.241799999991,2595.349304833309,1227.819999999941,749.2820520469768,4197.241799999991
45,4197.241799999991,2651.601291499978,1229.2209999999397,706.525243694394,4197.241799999991
46,4197.241799999991,2818.879916499986,2180.152599999921,515.200350816724,4197.241799999991
47,4197.241799999991,2818.879916499986,2180.152599999921,515.200350816724,4197.241799999991
48,6008.8272499999875,2996.5056498333297,2379.2200000000043,728.6977314853007,6008.8272499999875
